day,hour,minute,second,frames,v1,v2,v3,std,minY,pixels
08,21,21,37.038,8,5.06,3.50,2.72,7.13,080,5104
08,21,21,55.902,15,-3.92,-2.62,-1.20,3.04,099,7812
08,21,21,59.606,17,-2.40,-3.31,-4.15,2.28,099,3647
08,21,24,38.845,8,-4.31,-2.44,-1.50,22.44,066,4108
08,21,24,38.969,8,-1.31,-3.44,-4.50,5.90,064,4303
08,21,24,39.452,11,-4.36,-4.35,-4.20,2.46,062,3459
08,21,26,14.042,22,-4.46,-5.74,-6.24,4.29,065,4179
08,21,29,16.303,8,-7.12,-3.81,-2.16,8.89,067,3082
08,21,29,16.508,9,-2.44,-3.49,-2.67,9.11,086,4823
08,21,29,16.997,13,-5.71,-5.13,-4.34,1.91,065,4081
08,21,31,25.441,9,-6.11,-7.18,-6.22,22.69,067,4639
08,21,31,26.436,17,5.40,6.30,6.89,6.47,069,4897
08,21,37,30.375,16,6.07,5.88,5.62,5.78,073,4665
08,21,37,40.241,16,2.74,2.55,2.34,5.64,070,4880
08,21,37,40.352,9,3.22,3.58,4.67,2.69,068,3525
08,21,38,11.845,10,-2.80,-2.64,-2.95,14.70,069,5086
08,21,38,12.781,12,8.50,7.97,7.56,4.18,069,4862
08,21,47,20.112,21,6.35,7.32,7.96,5.50,068,4435
08,21,50,51.042,26,-2.64,-4.47,-5.77,6.09,066,3964
08,21,57,41.313,10,5.20,4.24,2.80,8.94,071,4939
08,21,58,42.178,15,-7.88,-6.30,-4.36,2.74,065,4133
08,22,01,22.844,8,0.75,1.25,1.50,3.56,068,2280
08,22,01,24.051,17,3.14,5.07,6.28,2.97,073,4374
08,22,01,52.377,15,4.48,4.58,4.84,8.49,069,4279
08,22,01,52.463,8,4.69,5.56,6.00,2.75,070,3502
08,22,04,08.058,8,12.56,5.31,1.69,25.06,065,3605
08,22,04,08.713,17,-3.85,-6.72,-8.47,5.41,065,3687
08,22,11,16.114,8,-16.12,-7.88,-3.75,26.57,069,4229
08,22,11,17.048,14,6.21,6.61,6.95,4.25,077,5588
08,22,11,28.315,10,-4.90,-5.20,-2.77,19.45,077,5687
08,22,11,28.916,13,4.15,5.42,5.82,3.90,078,5353
08,22,14,20.847,13,7.67,8.19,8.33,3.30,069,2968
08,22,15,53.190,20,5.80,6.65,6.97,4.65,068,3577
08,22,22,10.518,23,4.73,5.20,5.25,8.39,064,3349
08,22,22,11.066,8,3.19,5.31,6.38,2.66,063,3058
08,22,26,34.453,25,4.42,5.36,5.91,3.77,073,4896
08,22,27,24.517,26,-3.20,-4.13,-4.79,5.46,065,4526
08,22,29,19.452,8,-4.88,-2.00,-0.56,4.24,077,3803
08,22,29,19.717,18,-5.22,-5.91,-5.89,3.78,076,4738
08,22,32,01.920,8,2.25,1.19,0.66,18.41,064,4182
08,22,32,02.252,8,-4.88,-2.06,-0.66,14.06,064,4144
08,22,32,55.920,21,7.18,6.59,6.14,5.49,069,3803
08,22,34,13.458,17,5.93,7.68,8.57,6.20,068,3584
08,22,39,06.457,16,4.58,5.02,5.53,4.52,075,5086
08,22,39,24.524,13,-3.46,-4.20,-4.74,7.58,065,3758
08,22,39,24.610,15,-6.40,-5.88,-5.24,1.12,059,2761
08,22,44,13.929,8,3.75,2.81,2.34,32.04,067,3878
08,22,44,14.589,8,1.88,2.00,2.06,6.36,069,4285
08,22,44,14.989,12,4.62,4.42,4.81,3.14,073,4485
08,23,04,32.066,21,5.98,5.54,5.06,3.38,067,4206
08,23,18,35.598,20,5.53,5.98,5.79,8.66,066,3439
08,23,20,38.533,10,5.90,3.60,0.97,18.55,062,3814
08,23,30,54.404,22,-4.91,-4.70,-4.08,2.83,068,4630
08,23,33,55.602,20,-5.45,-6.06,-6.06,4.51,083,4868
08,23,50,50.875,16,-6.56,-5.14,-3.88,2.75,064,3703
08,23,57,37.347,8,-6.00,-4.81,-4.22,22.03,069,4809
08,23,57,38.543,19,3.63,4.22,4.53,5.44,079,6158
08,23,59,27.541,26,4.85,5.14,5.23,4.52,068,5129
09,00,08,20.881,20,5.05,6.56,7.19,8.55,070,4702
09,00,17,19.884,21,6.59,6.69,6.31,2.96,069,4075
09,01,30,40.630,23,5.78,5.80,5.64,3.95,067,3952
09,05,37,09.154,17,1.80,1.88,1.78,1.17,099,3308
09,05,37,13.222,15,1.76,1.55,1.44,2.53,099,3587
09,05,37,31.552,26,-2.09,-2.53,-2.80,3.16,067,3955
09,05,37,32.574,11,-2.91,-4.13,-4.95,4.61,060,2736
09,06,17,37.631,9,-8.67,-6.34,-4.11,9.64,064,4081
09,06,17,38.056,9,-5.22,-4.70,-4.22,2.57,057,3029
09,06,25,40.897,8,-5.25,-5.62,-5.81,17.85,065,3384
09,06,25,42.103,22,4.62,4.93,5.10,2.64,072,4674
09,06,29,17.767,17,-3.21,-3.86,-3.94,5.07,065,3871
09,06,29,18.248,12,-6.50,-5.58,-4.25,3.64,055,2694
09,06,48,57.972,17,-5.58,-4.22,-3.04,2.91,066,4311
09,06,50,45.040,15,-7.08,-5.97,-4.84,3.68,064,4145
09,06,54,07.375,15,-7.88,-7.04,-5.72,3.54,065,4050
